Designator,Mid X,Mid Y,Rotation,Layer
"D1",80.000000,-85.650000,180.000000,top
"D2",80.000000,-66.600000,180.000000,top
"D3",80.000000,-47.550000,180.000000,top
"D4",99.050000,-85.650000,180.000000,top
"D5",99.050000,-66.600000,180.000000,top
"D6",99.050000,-47.550000,180.000000,top
"D7",118.100000,-85.650000,180.000000,top
"D8",118.100000,-66.600000,180.000000,top
"D9",118.100000,-47.550000,180.000000,top
"D10",137.150000,-85.650000,180.000000,top
"D11",137.150000,-66.600000,180.000000,top
"D12",137.150000,-47.550000,180.000000,top
"D13",156.200000,-85.650000,180.000000,top
"D14",156.200000,-66.600000,180.000000,top
"D15",156.200000,-47.550000,180.000000,top
"D16",126.408551,-107.539851,165.000000,top
"D17",144.809438,-112.470354,165.000000,top
"D18",163.210324,-117.400857,165.000000,top
"D19",62.239886,-118.827351,165.000000,top
