Designator,Mid X,Mid Y,Rotation,Layer
"D1",80.000000,-85.650000,0.000000,bottom
"D2",80.000000,-66.600000,0.000000,bottom
"D3",80.000000,-47.550000,0.000000,bottom
"D4",99.050000,-85.650000,0.000000,bottom
"D5",99.050000,-66.600000,0.000000,bottom
"D6",99.050000,-47.550000,0.000000,bottom
"D7",118.100000,-85.650000,0.000000,bottom
"D8",118.100000,-66.600000,0.000000,bottom
"D9",118.100000,-47.550000,0.000000,bottom
"D10",137.150000,-85.650000,0.000000,bottom
"D11",137.150000,-66.600000,0.000000,bottom
"D12",137.150000,-47.550000,0.000000,bottom
"D13",156.200000,-85.650000,0.000000,bottom
"D14",156.200000,-66.600000,0.000000,bottom
"D15",156.200000,-47.550000,0.000000,bottom
"D16",126.408551,-107.539851,15.000000,bottom
"D17",144.809438,-112.470354,15.000000,bottom
"D18",163.210324,-117.400857,15.000000,bottom
"D19",62.239886,-118.827351,15.000000,bottom
